Date,ID,PARAM,Value,Latitude,Longitude,Max Temp,Min Temp,Mean Temp,Heat Deg Days,Cool Deg Days,Total Precip
2000-01-26,08MG012,2,8.754,49.309259999999995,-121.77373,5.0,0.2,2.6,15.4,0.0,2.2
2000-01-27,08MG012,2,8.736,49.309259999999995,-121.77373,6.9,-0.5,3.2,14.8,0.0,0.0
2000-01-28,08MG012,2,8.716,49.309259999999995,-121.77373,6.8,-2.0,2.4,15.6,0.0,0.0
2000-01-29,08MG012,2,8.696,49.309259999999995,-121.77373,7.3,1.4,4.4,13.6,0.0,0.0
2000-01-30,08MG012,2,8.680,49.309259999999995,-121.77373,7.8,3.2,5.5,12.5,0.0,0.0
2000-01-31,08MG012,2,8.655,49.309259999999995,-121.77373,8.9,1.7,5.3,12.7,0.0,5.4
2000-02-01,08MG012,2,8.666,49.309259999999995,-121.77373,10.3,3.1,6.7,11.3,0.0,28.6
2000-02-02,08MG012,2,8.716,49.309259999999995,-121.77373,10.7,3.5,7.1,10.9,0.0,0.4
2000-02-03,08MG012,2,8.744,49.309259999999995,-121.77373,12.2,7.0,9.6,8.4,0.0,0.2
2000-02-04,08MG012,2,8.719,49.309259999999995,-121.77373,10.1,4.2,7.2,10.8,0.0,0.0
2000-02-05,08MG012,2,8.706,49.309259999999995,-121.77373,7.2,2.0,4.6,13.4,0.0,0.0
2000-02-06,08MG012,2,8.689,49.309259999999995,-121.77373,9.5,3.0,6.3,11.7,0.0,0.4
2000-02-07,08MG012,2,8.680,49.309259999999995,-121.77373,10.3,6.0,8.2,9.8,0.0,8.8
2000-02-08,08MG012,2,8.686,49.309259999999995,-121.77373,7.4,5.2,6.3,11.7,0.0,21.0
2000-02-09,08MG012,2,8.722,49.309259999999995,-121.77373,8.9,2.0,5.5,12.5,0.0,4.6
2000-02-10,08MG012,2,8.735,49.309259999999995,-121.77373,10.8,1.0,5.9,12.1,0.0,0.0
2000-02-11,08MG012,2,8.732,49.309259999999995,-121.77373,7.4,2.7,5.1,12.9,0.0,0.0
2000-02-12,08MG012,2,8.727,49.309259999999995,-121.77373,8.7,3.3,6.0,12.0,0.0,0.0
2000-02-13,08MG012,2,8.716,49.309259999999995,-121.77373,9.0,2.5,5.8,12.2,0.0,0.0
2000-02-14,08MG012,2,8.699,49.309259999999995,-121.77373,5.6,0.7,3.2,14.8,0.0,0.0
2000-02-15,08MG012,2,8.672,49.309259999999995,-121.77373,7.5,-0.1,3.7,14.3,0.0,1.4
2000-02-16,08MG012,2,8.667,49.309259999999995,-121.77373,8.6,1.8,5.2,12.8,0.0,0.0
2000-02-17,08MG012,2,8.648,49.309259999999995,-121.77373,7.4,0.8,4.1,13.9,0.0,0.0
2000-02-18,08MG012,2,8.627,49.309259999999995,-121.77373,9.6,-1.2,4.2,13.8,0.0,0.0
2000-02-19,08MG012,2,8.610,49.309259999999995,-121.77373,11.5,1.8,6.7,11.3,0.0,0.0
2000-02-20,08MG012,2,8.591,49.309259999999995,-121.77373,12.1,3.7,7.9,10.1,0.0,0.0
2000-02-21,08MG012,2,8.576,49.309259999999995,-121.77373,8.3,3.4,5.9,12.1,0.0,11.2
2000-02-22,08MG012,2,8.568,49.309259999999995,-121.77373,10.4,4.5,7.5,10.5,0.0,5.6
2000-02-23,08MG012,2,8.574,49.309259999999995,-121.77373,10.2,3.7,7.0,11.0,0.0,0.4
2000-02-24,08MG012,2,8.578,49.309259999999995,-121.77373,10.2,1.9,6.1,11.9,0.0,2.4
2000-02-25,08MG012,2,8.572,49.309259999999995,-121.77373,8.3,-0.5,3.9,14.1,0.0,5.6
2000-02-26,08MG012,2,8.575,49.309259999999995,-121.77373,9.1,2.2,5.7,12.3,0.0,1.2
2000-02-27,08MG012,2,8.571,49.309259999999995,-121.77373,8.1,4.5,6.3,11.7,0.0,4.8
2000-02-28,08MG012,2,8.566,49.309259999999995,-121.77373,6.6,3.9,5.3,12.7,0.0,4.6
2000-02-29,08MG012,2,8.566,49.309259999999995,-121.77373,11.3,4.8,8.1,9.9,0.0,3.2
