"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-121.76","49.24","AGASSIZ RCS","1100119","2016-01-01","2016","01","01","","1.7","","-3.0","","-0.7","","18.7","","0.0","","","M","","M","0.0","","","","5","","69",""
"-121.76","49.24","AGASSIZ RCS","1100119","2016-01-02","2016","01","02","","1.0","","-3.3","","-1.2","","19.2","","0.0","","","M","","M","0.0","","0","T","4","","63",""
"-121.76","49.24","AGASSIZ RCS","1100119","2016-01-03","2016","01","03","","0.9","","-3.8","","-1.5","","19.5","","0.0","","","M","","M","0.0","","","","4","","74",""
"-121.76","49.24","AGASSIZ RCS","1100119","2016-01-04","2016","01","04","","2.2","","-2.0","","0.1","","17.9","","0.0","","","M","","M","0.0","","0","T","4","","52",""
"-121.76","49.24","AGASSIZ RCS","1100119","2016-01-05","2016","01","05","","2.9","","0.2","","1.6","","16.4","","0.0","","","M","","M","0.5","","0","T","4","","50",""
"-121.76","49.24","AGASSIZ RCS","1100119","2016-01-06","2016","01","06","","6.6","","1.4","","4.0","","14.0","","0.0","","","M","","M","0.0","","0","T","3","","46",""
"-121.76","49.24","AGASSIZ RCS","1100119","2016-01-07","2016","01","07","","6.7","","1.8","","4.3","","13.7","","0.0","","","M","","M","0.0","","","","4","","37",""
"-121.76","49.24","AGASSIZ RCS","1100119","2016-01-08","2016","01","08","","6.3","","1.3","","3.8","","14.2","","0.0","","","M","","M","0.0","","","","4","","43",""
"-121.76","49.24","AGASSIZ RCS","1100119","2016-01-09","2016","01","09","","6.0","","2.8","","4.4","","13.6","","0.0","","","M","","M","0.0","","","","4","","56",""
"-121.76","49.24","AGASSIZ RCS","1100119","2016-01-10","2016","01","10","","4.5","","1.0","","2.8","","15.2","","0.0","","","M","","M","0.0","","","","4","","59",""
"-121.76","49.24","AGASSIZ RCS","1100119","2016-01-11","2016","01","11","","3.4","","0.5","","2.0","","16.0","","0.0","","","M","","M","2.2","","","","5","","63",""
"-121.76","49.24","AGASSIZ RCS","1100119","2016-01-12","2016","01","12","","6.5","","0.1","","3.3","","14.7","","0.0","","","M","","M","7.1","","","","4","","33",""
"-121.76","49.24","AGASSIZ RCS","1100119","2016-01-13","2016","01","13","","7.4","","3.4","","5.4","","12.6","","0.0","","","M","","M","13.4","","","","","","<31",""
"-121.76","49.24","AGASSIZ RCS","1100119","2016-01-14","2016","01","14","","6.9","","1.0","","4.0","","14.0","","0.0","","","M","","M","1.0","","","","","","<31",""
"-121.76","49.24","AGASSIZ RCS","1100119","2016-01-15","2016","01","15","","5.9","","-0.4","","2.8","","15.2","","0.0","","","M","","M","0.0","","","","5","","37",""
"-121.76","49.24","AGASSIZ RCS","1100119","2016-01-16","2016","01","16","","5.3","","3.7","","4.5","","13.5","","0.0","","","M","","M","13.8","","","","36","","41",""
"-121.76","49.24","AGASSIZ RCS","1100119","2016-01-17","2016","01","17","","7.7","","2.0","","4.9","","13.1","","0.0","","","M","","M","15.8","","","","3","","48",""
"-121.76","49.24","AGASSIZ RCS","1100119","2016-01-18","2016","01","18","","8.6","","2.6","","5.6","","12.4","","0.0","","","M","","M","1.6","","","","5","","43",""
"-121.76","49.24","AGASSIZ RCS","1100119","2016-01-19","2016","01","19","","8.6","","0.5","","4.6","","13.4","","0.0","","","M","","M","0.4","","","","4","","35",""
