"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-121.76","49.24","AGASSIZ RCS","1100119","2020-01-01","2020","01","01","","13.1","","5.9","","9.5","","8.5","","0.0","","","","","","1.7","","","","25","","52",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-01-02","2020","01","02","","7.8","","2.0","","4.9","","13.1","","0.0","","","","","","6.5","","","","22","","39",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-01-03","2020","01","03","","9.5","","1.5","","5.5","","12.5","","0.0","","","","","","9.5","","","","24","","38",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-01-04","2020","01","04","","9.0","","3.7","","6.4","","11.6","","0.0","","","","","","13.9","","","","21","","37",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-01-05","2020","01","05","","7.8","","1.9","","4.9","","13.1","","0.0","","","","","","4.7","","","","22","","47",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-01-06","2020","01","06","","5.4","","0.7","","3.0","","15.0","","0.0","","","","","","33.6","","","","","","",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-01-07","2020","01","07","","5.7","","2.5","","4.1","","13.9","","0.0","","","","","","36.8","","","","","","",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-01-08","2020","01","08","","8.2","","0.1","","4.2","","13.8","","0.0","","","","","","4.0","","","","23","","40",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-01-09","2020","01","09","","5.2","","-0.4","","2.4","","15.6","","0.0","","","","","","0.3","","","","","","",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-01-10","2020","01","10","","2.4","","-0.2","","1.1","","16.9","","0.0","","","","","","9.5","","","","","","",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-01-11","2020","01","11","","5.9","","0.3","","3.1","","14.9","","0.0","","","","","","13.9","","0","","23","","32",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-01-12","2020","01","12","","1.1","","-7.2","","-3.0","","21.0","","0.0","","","","","","19.6","","","","4","","75",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-01-13","2020","01","13","","-6.9","","-10.2","","-8.5","","26.5","","0.0","","","","","","0.0","","12","","35","","67",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-01-14","2020","01","14","","-9.9","","-12.3","","-11.1","","29.1","","0.0","","","","","","0.4","","7","","34","","55",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-01-15","2020","01","15","","-6.5","","-13.1","","-9.8","","27.8","","0.0","","","","","","5.1","","8","","6","","76",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-01-16","2020","01","16","","-4.9","","-9.8","","-7.4","","25.4","","0.0","","","","","","3.8","","6","","24","","89",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-01-17","2020","01","17","","-3.9","","-8.7","","-6.3","","24.3","","0.0","","","","","","0.7","","12","","4","","63",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-01-18","2020","01","18","","-0.5","","-6.4","","-3.4","","21.4","","0.0","","","","","","2.2","","5","","3","","65",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-01-19","2020","01","19","","7.0","","-5.6","","0.7","","17.3","","0.0","","","","","","0.6","","5","","3","","40",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-01-20","2020","01","20","","7.7","","2.7","","5.2","","12.8","","0.0","","","","","","2.5","","","","4","","36",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-01-21","2020","01","21","","7.7","","2.6","","5.1","","12.9","","0.0","","","","","","6.6","","","","4","","49",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-01-22","2020","01","22","","6.3","","2.4","","4.3","","13.7","","0.0","","","","","","20.4","","","","","","",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-01-23","2020","01","23","","7.3","","3.8","","5.5","","12.5","","0.0","","","","","","22.5","","","","","","",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-01-24","2020","01","24","","7.6","","4.0","","5.8","","12.2","","0.0","","","","","","21.1","","","","5","","68",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-01-25","2020","01","25","","8.7","","2.4","","5.5","","12.5","","0.0","","","","","","0.1","","","","5","","32",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-01-26","2020","01","26","","9.9","","5.0","","7.5","","10.5","","0.0","","","","","","4.0","","","","2","","39",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-01-27","2020","01","27","","10.7","","5.1","","7.9","","10.1","","0.0","","","","","","10.3","","","","","","",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-01-28","2020","01","28","","7.5","","2.1","","4.8","","13.2","","0.0","","","","","","6.7","","","","","","",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-01-29","2020","01","29","","7.0","","1.5","","4.2","","13.8","","0.0","","","","","","16.0","","","","","","",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-01-30","2020","01","30","","8.3","","0.6","","4.5","","13.5","","0.0","","","","","","6.9","","","","","","",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-01-31","2020","01","31","","10.9","","4.1","","7.5","","10.5","","0.0","","","","","","75.3","","","","22","","36",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-02-01","2020","02","01","","14.5","","2.8","","8.6","","9.4","","0.0","","","","","","23.4","","","","22","","69",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-02-02","2020","02","02","","6.7","","-0.1","","3.3","","14.7","","0.0","","","","","","0.1","","","","","","",""
"-121.76","49.24","AGASSIZ RCS","1100119","2020-02-03","2020","02","03","","5.0","","0.1","","2.6","","15.4","","0.0","","","","","","3.4","","","","8","","36",""
